date,close,volume,open,high,low
16:00,17.46,"7,628,365",18.09,18.15,17.38
9/22/15,17.46,7660182,18.11,18.15,17.38
9/21/15,18.44,6327930,18.32,18.72,18.15
9/18/15,18.13,9282514,18.68,18.81,18.03
9/17/15,19.11,4844755,19.14,19.5,19.01
9/16/15,19.19,6338179,18.76,19.42,18.74
9/15/15,18.8,4836752,18.05,18.9,18.03
9/14/15,18.02,4949607,18.22,18.4,17.98
9/11/15,18.31,4722013,18.07,18.52,18.03
9/10/15,18.25,6624610,18.01,18.52,17.94
9/9/15,18.04,5544362,18.2,18.4,17.91
9/8/15,18.05,5319329,18,18.06,17.73
9/4/15,17.61,4292937,17.64,17.88,17.4
9/3/15,17.96,6256844,18,18.38,17.675
9/2/15,17.89,6175893,17.67,17.9999,17.5301
9/1/15,17.32,6809553,17.89,18.19,17.21
8/31/15,18.43,5824026,18.19,18.75,18.02
8/28/15,18.3,6056179,17.86,18.45,17.86
8/27/15,17.98,7551293,17.46,18.155,17.39
8/26/15,17.16,8351858,16.92,17.23,16.19
8/25/15,16.41,9077909,17.41,17.41,16.4
8/24/15,16.8,12994220,15.6,17.71,14.85
8/21/15,17.3,10525910,17.93,18,16.99
8/20/15,18.18,5198583,18.59,18.73,18.16
8/19/15,18.89,7313952,18.63,19.09,18.595
8/18/15,18.86,9898160,18.58,19.04,18.58
8/17/15,18.81,14534880,18.57,18.99,18.35
8/14/15,18.17,5844162,17.89,18.24,17.77
8/13/15,17.83,9838457,18.09,18.36,17.65
8/12/15,17.9,15128510,16.7,18.08,16.5
8/11/15,16.5,10485510,16.64,16.95,16.33
8/10/15,17.12,10996210,16.51,17.22,16.16
8/7/15,15.93,5181276,16.27,16.45,15.82
8/6/15,16.33,6069102,16.27,16.4,15.96
8/5/15,16.26,5752315,17.08,17.24,16.22
8/4/15,16.9,8285469,16.62,17.25,16.62
8/3/15,16.55,7847394,16.93,17.0099,16.51
7/31/15,16.99,9943001,16.56,17.39,16.56
7/30/15,16.61,9748552,16.34,16.71,16.13
7/29/15,16.45,6093155,16.34,16.72,16.15
7/28/15,16.34,8498648,15.87,16.79,15.67
7/27/15,15.79,7183470,15.89,16.2,15.56
7/24/15,15.93,10214110,16.43,16.585,15.8975
7/23/15,16.45,18501970,17.4,17.57,16.31
7/22/15,17.99,11014560,17.63,18.02,17.17
7/21/15,17.78,7028073,17.89,18.3,17.74
7/20/15,18.02,14928050,19.14,19.21,17.785
7/17/15,19.01,35186500,19.99,20.5,18.75
7/16/15,16.99,7138337,17.16,17.34,16.88
7/15/15,17.05,6965461,17.75,17.75,16.97
7/14/15,17.09,5449881,16.97,17.315,16.95
7/13/15,16.97,5707256,16.95,17.02,16.72
7/10/15,16.87,5797771,17.1,17.19,16.84
7/9/15,16.82,12032270,17.17,17.19,16.65
7/8/15,16.95,8697396,17.5,17.64,16.89
7/7/15,17.75,11028170,17.23,17.91,17.04
7/6/15,17.22,6108037,17.16,17.44,17.04
7/2/15,17.25,8706528,17.71,17.75,17.13
7/1/15,17.58,10216410,18.22,18.28,17.5
6/30/15,18.12,10169120,18.71,18.9,18.05
6/29/15,18.56,6390710,18.91,19.01,18.47
6/26/15,19.08,11779610,19.15,19.26,18.89
6/25/15,19.13,16476050,20.39,20.4,18.89
6/24/15,20.26,4570994,20.68,20.715,20.215
6/23/15,20.7,3693874,20.48,20.79,20.47
6/22/15,20.46,4421088,20.66,20.68,20.36
